case,method,seed,success,energy,exact,rel_error_percent,max_rel_error_percent,nodes,nodes_expected,subspace_weight,parity_score,runtime_s,failure_mode
disk m=1,state_by_state,15,False,15.51084346452184,14.681970642123895,5.645514778648537,5.645514778648537,,,0.9938897504801808,,3.7214457988739014,energy error
disk m=1,subspace_ritz,15,False,11.008342848353376,14.681970642123895,39.093836073928856,39.093836073928856,,,0.07320727847327539,,8.399223804473877,low subspace weight
ellipse split,generic_subspace,15,False,,,31.796780256596406,64.69089013390011,,,,0.0,23.410609006881714,branch drift/missing parity sector
ellipse split,symmetry_sectors,15,False,,,15.678086686995567,54.826408441263155,,,,0.8,37.86900019645691,branch drift/missing parity sector
1D n=5,residual,16,False,9.86960701611514,246.74011002723395,95.99999894016997,95.99999894016997,0.0,4.0,,,1.3908159732818604,wrong nodes/lower-state collapse
1D n=5,penalty,16,False,9.86865198509,246.74011002723395,96.00038599966551,96.00038599966551,0.0,4.0,,,0.9158878326416016,wrong nodes/lower-state collapse
1D n=5,projection,16,False,245.03501241689992,246.74011002723395,0.6910500324190647,0.6910500324190647,4.0,4.0,,,1.5636229515075684,energy error
disk m=1,state_by_state,16,False,15.974359329571337,14.681970642123895,8.802555998439763,8.802555998439763,,,0.9886398058969788,,3.7603702545166016,energy error
disk m=1,subspace_ritz,16,False,11.61260028074511,14.681970642123895,39.3692861417693,39.3692861417693,,,0.00018756172113373092,,8.27524185180664,low subspace weight
ellipse split,generic_subspace,16,False,,,32.160021358982576,64.82112589059994,,,,0.0,23.592527151107788,branch drift/missing parity sector
ellipse split,symmetry_sectors,16,False,,,20.631140070467836,65.15465787852129,,,,0.8,37.82144498825073,branch drift/missing parity sector
1D n=5,residual,17,False,88.8286797698332,246.74011002723395,63.99909209733726,63.99909209733726,2.0,4.0,,,1.3740129470825195,wrong nodes/lower-state collapse
1D n=5,penalty,17,False,9.870024892550726,246.74011002723395,95.99982958122969,95.99982958122969,0.0,4.0,,,0.892786979675293,wrong nodes/lower-state collapse
1D n=5,projection,17,False,244.95680851504918,246.74011002723395,0.7227448800229301,0.7227448800229301,4.0,4.0,,,1.5800268650054932,energy error
disk m=1,state_by_state,17,False,15.940156961024346,14.681970642123895,8.569601108522866,8.569601108522866,,,0.9901785879707099,,3.761657238006592,energy error
disk m=1,subspace_ritz,17,False,11.207417045869425,14.681970642123895,39.58047917512788,39.58047917512788,,,0.3592610173172847,,8.288836240768433,low subspace weight
ellipse split,generic_subspace,17,False,,,35.51730569979261,70.43674005888707,,,,0.0,23.396495819091797,branch drift/missing parity sector
ellipse split,symmetry_sectors,17,False,,,19.633504505896546,59.00973272010369,,,,1.0,37.987191915512085,branch drift/missing parity sector
1D n=5,residual,18,False,39.4815367247573,246.74011002723395,83.99873586811665,83.99873586811665,1.0,4.0,,,1.3117570877075195,wrong nodes/lower-state collapse
1D n=5,penalty,18,False,9.870447539194956,246.74011002723395,95.99965828899668,95.99965828899668,0.0,4.0,,,0.9332568645477295,wrong nodes/lower-state collapse
1D n=5,projection,18,False,245.23365374487358,246.74011002723395,0.610543734536756,0.610543734536756,4.0,4.0,,,1.582768201828003,energy error
disk m=1,state_by_state,18,False,15.91641249596375,14.681970642123895,8.407875781321408,8.407875781321408,,,0.9885902506695172,,3.732429027557373,energy error
disk m=1,subspace_ritz,18,False,11.467460892241743,14.681970642123895,29.23592249809893,29.23592249809893,,,0.005189265822400887,,8.330217838287354,low subspace weight
ellipse split,generic_subspace,18,False,,,29.283755955796373,60.89560650934881,,,,0.0,24.290040969848633,branch drift/missing parity sector
ellipse split,symmetry_sectors,18,False,,,26.192845429541087,59.74843834244578,,,,0.2,37.96720218658447,branch drift/missing parity sector
1D n=5,residual,19,False,496.6706605840006,246.74011002723395,101.29303684317095,101.29303684317095,6.0,4.0,,,1.3493149280548096,wrong nodes/lower-state collapse
1D n=5,penalty,19,False,9.88566962074355,246.74011002723395,95.99348901171665,95.99348901171665,0.0,4.0,,,0.9262821674346924,wrong nodes/lower-state collapse
1D n=5,projection,19,False,245.10620272425066,246.74011002723395,0.6621976876005066,0.6621976876005066,4.0,4.0,,,1.5710201263427734,energy error
disk m=1,state_by_state,19,False,15.029218433379162,14.681970642123895,2.3651306743454574,2.3651306743454574,,,0.9848101213297857,,3.6819989681243896,energy error
disk m=1,subspace_ritz,19,False,11.248771079398844,14.681970642123895,59.245596224499,59.245596224499,,,0.10527828139600637,,8.485200881958008,low subspace weight
ellipse split,generic_subspace,19,False,,,46.182811809945385,98.33633805844246,,,,0.0,23.712968826293945,branch drift/missing parity sector
ellipse split,symmetry_sectors,19,False,,,19.2599535589625,52.784486120195346,,,,0.8,35.780056953430176,branch drift/missing parity sector
