eta,pinn_rank,exact_label,nx,ny,overlap,overlap_weight
1.2,1,psi_32,3,2,0.0009743472328409553,9.493525301448267e-07
1.2,1,psi_14,1,4,-0.00345782283693552,1.1956538771632809e-05
1.2,1,psi_24,2,4,-0.0002628339861985296,6.908170430100885e-08
1.2,1,psi_33,3,3,5.939167022006586e-05,3.527370491529058e-09
1.2,1,psi_41,4,1,0.002125062979757786,4.5158926679370395e-06
1.2,2,psi_11,1,1,-0.00025106407701969147,6.303317076974957e-08
1.2,2,psi_12,1,2,-0.9999587535858154,0.9999175088728975
1.2,2,psi_21,2,1,-0.0007901321514509618,6.243088167565257e-07
1.2,2,psi_22,2,2,-0.0021470908541232347,4.609999135859642e-06
1.2,2,psi_13,1,3,-0.00022135768085718155,4.899922287446984e-08
1.2,2,psi_31,3,1,0.00038346712244674563,1.470470339975874e-07
1.2,2,psi_23,2,3,-0.0001955780026037246,3.8250755102462506e-08
1.2,2,psi_32,3,2,0.001505936961621046,2.267846132376428e-06
1.2,2,psi_14,1,4,0.0004316801205277443,1.8634772645884784e-07
1.2,2,psi_24,2,4,0.0013068235712125897,1.7077878462768266e-06
1.2,2,psi_33,3,3,0.0001814989373087883,3.2941864244219465e-08
1.2,2,psi_41,4,1,0.0009177655447274446,8.422935950888632e-07
1.2,3,psi_11,1,1,9.536149445921183e-05,9.093814625494288e-09
1.2,3,psi_12,1,2,-0.0007905429811216891,6.249582050007673e-07
1.2,3,psi_21,2,1,0.9999624490737915,0.9999248995576551
1.2,3,psi_22,2,2,0.0012860288843512535,1.6538702913857298e-06
1.2,3,psi_13,1,3,0.00016494124429300427,2.7205614068924515e-08
1.2,3,psi_31,3,1,-5.133463128004223e-05,2.6352443686578903e-09
1.2,3,psi_23,2,3,-0.00084711704403162,7.176072862888697e-07
1.2,3,psi_32,3,2,0.0009709011064842343,9.426489585723105e-07
1.2,3,psi_14,1,4,-0.0014617035631090403,2.136577306405664e-06
1.2,3,psi_24,2,4,-0.001529620960354805,2.339740282356756e-06
1.2,3,psi_33,3,3,-1.735680052661337e-05,3.0125852452064614e-10
1.2,3,psi_41,4,1,-0.0009884728351607919,9.77078545850814e-07
1.2,4,psi_11,1,1,0.00010712537914514542,1.1475846856991156e-08
1.2,4,psi_12,1,2,0.0002530692145228386,6.40440273392065e-08
