case,method,script,seed,seed_argument_available,returncode,runtime_s,log_path,note,success,rel_error_percent,max_rel_error_percent,subspace_weight,parity_score,nodes,nodes_expected,failure_mode,parsed_rows
square doublet,subspace Ritz,train_pinn_square_2d_subspace.py,14,True,0,36.09704804420471,data/ablation_native_logs/square_doublet__subspace_Ritz__seed14.log,native square subspace script,True,0.03,0.0312,1.0,,,,stable,4
disk m=1,subspace Ritz,train_pinn_disk_2d_subspace.py,14,True,0,1034.6817600727081,data/ablation_native_logs/disk_m1__subspace_Ritz__seed14.log,native disk subspace script,True,0.0004,0.0004,1.0,,,,stable,3
ellipse split,generic subspace,train_pinn_ellipse_2d_splitting.py,14,True,0,1149.010976076126,data/ablation_native_logs/ellipse_split__generic_subspace__seed14.log,native generic ellipse script,False,954.6443560420041,3912.4234005472417,,0.0,,,branch drift/generic subspace instability,5
ellipse split,symmetry sectors,train_pinn_ellipse_2d_symmetry_v2.py,14,True,0,673.2811090946198,data/ablation_native_logs/ellipse_split__symmetry_sectors__seed14.log,native symmetry-sector ellipse script,True,1.652646458897794,1.9695813858530367,,1.0,,,stable branch tracking,5
1D n=5,baseline state-by-state,train_pinn_1d.py,15,True,0,5.059236288070679,data/ablation_native_logs/1D_n5__baseline_state-by-state__seed15.log,native baseline 1D script,False,30.8945,111.2678,,,,,energy error,5
1D n=5,projected Rayleigh,train_pinn_1d_projected_v2.py,15,True,0,58.83145999908447,data/ablation_native_logs/1D_n5__projected_Rayleigh__seed15.log,native projected 1D script,True,0.03,0.0305,,,4.0,4.0,stable,5
square doublet,subspace Ritz,train_pinn_square_2d_subspace.py,15,True,0,39.756677865982056,data/ablation_native_logs/square_doublet__subspace_Ritz__seed15.log,native square subspace script,True,0.0643,0.0869,0.99995,,,,stable,4
disk m=1,subspace Ritz,train_pinn_disk_2d_subspace.py,15,True,0,161.3755440711975,data/ablation_native_logs/disk_m1__subspace_Ritz__seed15.log,native disk subspace script,True,0.00045,0.0005,1.0,,,,stable,3
ellipse split,generic subspace,train_pinn_ellipse_2d_splitting.py,15,True,0,366.3341681957245,data/ablation_native_logs/ellipse_split__generic_subspace__seed15.log,native generic ellipse script,False,1114.3294763346735,3912.4234005472417,,0.0,,,branch drift/generic subspace instability,5
ellipse split,symmetry sectors,train_pinn_ellipse_2d_symmetry_v2.py,15,True,0,781.386045217514,data/ablation_native_logs/ellipse_split__symmetry_sectors__seed15.log,native symmetry-sector ellipse script,True,1.599666771918414,1.7756023945373762,,1.0,,,stable branch tracking,5
1D n=5,baseline state-by-state,train_pinn_1d.py,16,True,0,5.091383218765259,data/ablation_native_logs/1D_n5__baseline_state-by-state__seed16.log,native baseline 1D script,False,23.5356,115.1466,,,,,energy error,5
1D n=5,projected Rayleigh,train_pinn_1d_projected_v2.py,16,True,0,62.49492883682251,data/ablation_native_logs/1D_n5__projected_Rayleigh__seed16.log,native projected 1D script,True,0.0351,0.0351,,,4.0,4.0,stable,5
square doublet,subspace Ritz,train_pinn_square_2d_subspace.py,16,True,0,39.36929202079773,data/ablation_native_logs/square_doublet__subspace_Ritz__seed16.log,native square subspace script,True,0.0643,0.0869,0.99995,,,,stable,4
disk m=1,subspace Ritz,train_pinn_disk_2d_subspace.py,16,True,0,142.54859614372253,data/ablation_native_logs/disk_m1__subspace_Ritz__seed16.log,native disk subspace script,True,0.00045,0.0005,1.0,,,,stable,3
ellipse split,generic subspace,train_pinn_ellipse_2d_splitting.py,16,True,0,351.75480341911316,data/ablation_native_logs/ellipse_split__generic_subspace__seed16.log,native generic ellipse script,False,779.8389990690953,2263.399803760474,,0.0,,,branch drift/generic subspace instability,5
ellipse split,symmetry sectors,train_pinn_ellipse_2d_symmetry_v2.py,16,True,0,657.6504538059235,data/ablation_native_logs/ellipse_split__symmetry_sectors__seed16.log,native symmetry-sector ellipse script,True,1.5729787281596213,1.7265723953200642,,1.0,,,stable branch tracking,5
1D n=5,baseline state-by-state,train_pinn_1d.py,17,True,0,4.949926853179932,data/ablation_native_logs/1D_n5__baseline_state-by-state__seed17.log,native baseline 1D script,False,25.2828,117.309,,,,,energy error,5
1D n=5,projected Rayleigh,train_pinn_1d_projected_v2.py,17,True,0,45.969451665878296,data/ablation_native_logs/1D_n5__projected_Rayleigh__seed17.log,native projected 1D script,True,0.0273,0.0273,,,4.0,4.0,stable,5
square doublet,subspace Ritz,train_pinn_square_2d_subspace.py,17,True,0,39.665364027023315,data/ablation_native_logs/square_doublet__subspace_Ritz__seed17.log,native square subspace script,True,0.0643,0.0869,0.99995,,,,stable,4
disk m=1,subspace Ritz,train_pinn_disk_2d_subspace.py,17,True,0,995.9730110168457,data/ablation_native_logs/disk_m1__subspace_Ritz__seed17.log,native disk subspace script,True,0.0004,0.0004,1.0,,,,stable,3
ellipse split,generic subspace,train_pinn_ellipse_2d_splitting.py,17,True,0,1947.0682489871979,data/ablation_native_logs/ellipse_split__generic_subspace__seed17.log,native generic ellipse script,False,780.1630188742052,3676.688594954332,,0.0,,,branch drift/generic subspace instability,5
ellipse split,symmetry sectors,train_pinn_ellipse_2d_symmetry_v2.py,17,True,0,7000.102735042572,data/ablation_native_logs/ellipse_split__symmetry_sectors__seed17.log,native symmetry-sector ellipse script,True,1.5800217222165363,1.7062836767498333,,1.0,,,stable branch tracking,5
